Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
612,TA367,2015/16,STA,Vortioxetine,Pharmaceutical,Major depressive episodes,Recommended,Recommended in line with clinical practice.
613,TA368,2015/16,STA,Apremilast,Pharmaceutical,Moderate to severe plaque psoriasis,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
614,TA369,2015/16,STA,Ciclosporin,Pharmaceutical,Treating dry eye disease that has not improved despite treatment with artificial tears,Recommended,Recommended in line with marketing authorisation
615,TA370,2015/16,STA,Bortezomib,Pharmaceutical,Previously untreated mantle cell lymphoma,Recommended,Recommended in line with marketing authorisation
616,TA371,2015/16,STA,Trastuzumab emtansine,Pharmaceutical,"Treating HER2-positive, unresectable locally advanced or metastatic breast cancer after treatment with trastuzumab and a taxane",Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
617,TA372,2015/16,STA,Apremilast alone or in combination with disease‑modifying antirheumatic drug (DMARD) therapy,Pharmaceutical,Treating active psoriatic arthritis,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
618,TA373,2015/16,MTA,Abatecept,Pharmaceutical,Treating juvenile idiopathic arthritis,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
619,TA373,2015/16,MTA,Adalimumab,Pharmaceutical,Treating juvenile idiopathic arthritis,Recommended,Recommended in line with marketing authorisation.
620,TA373,2015/16,MTA,Etanercept,Pharmaceutical,Treating juvenile idiopathic arthritis,Recommended,Recommended in line with marketing authorisation.
621,TA373,2015/16,MTA,Tocilizumab,Pharmaceutical,Treating juvenile idiopathic arthritis,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
622,TA374,2015/16,MTA,Erlotinib,Pharmaceutical,Treating non-small-cell lung cancer that has progressed after prior chemotherapy,Optimised,"Optimised recommendation for erlotinib, only if the company provides erlotinib with the discount agreed in the patient access scheme revised in the context of NICE technology appraisal guidance 258: Erlotinib is recommended as an option for treating locally advanced or metastatic non‑small‑cell lung cancer that has progressed in people who have had non‑targeted chemotherapy because of delayed confirmation that their tumour is epidermal growth factor receptor tyrosine kinase (EGFR‑TK) mutation‑positive. Erlotinib is recommended as an option for treating locally advanced or metastatic non‑small‑cell lung cancer that has progressed after non‑targeted chemotherapy in people with tumours of unknown EGFR‑TK mutation status, only if: the result of an EGFR‑TK mutation diagnostic test is unobtainable because of an inadequate tissue sample or poor‑quality DNA and the treating clinician considers that the tumour is very likely to be EGFR‑TK mutation‑positive and the person's disease responds to the first 2 cycles of treatment with erlotinib. Erlotinib is not recommended for treating locally advanced or metastatic non‑small‑cell lung cancer that has progressed after non‑targeted chemotherapy in people with tumours that are EGFR‑TK mutation‑negative."
623,TA374,2015/16,MTA,Gefitinib,Pharmaceutical,Treating non-small-cell lung cancer that has progressed after prior chemotherapy,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
624,TA375,2015/16,MTA,Adalimumab,Pharmaceutical,Rheumatoid arthritis not previously treated with DMARDs or after conventional DMARDs only have failed,Optimised,"Optimised recommendation for adalimumab in combination with methotrexate only if:
disease is severe, that is, a disease activity score (DAS28) greater than 5.1 and
disease has not responded to intensive therapy with a combination of conventional DMARDs

Adalimumab as monotherapy is recommended for people who cannot take methotrexate because it is contraindicated or because of intolerance, when the criteria in section 1.1 are met."
625,TA375,2015/16,MTA,Etanercept,Pharmaceutical,Rheumatoid arthritis not previously treated with DMARDs or after conventional DMARDs only have failed,Optimised,"Optimised recommendation for etanercept in combination with methotrexate only if:
disease is severe, that is, a disease activity score (DAS28) greater than 5.1 and
disease has not responded to intensive therapy with a combination of conventional DMARDs

Etanercept as monotherapy is recommended for people who cannot take methotrexate because it is contraindicated or because of intolerance, when the criteria in section 1.1 are met."
626,TA375,2015/16,MTA,Infliximab in combination with methotrexate,Pharmaceutical,Rheumatoid arthritis not previously treated with DMARDs or after conventional DMARDs only have failed,Optimised,"Optimised recommendation for infliximab in combination with methotrexate only if:
disease is severe, that is, a disease activity score (DAS28) greater than 5.1 and
disease has not responded to intensive therapy with a combination of conventional DMARDs"
627,TA375,2015/16,MTA,Certolizumab Pegol,Pharmaceutical,Rheumatoid arthritis not previously treated with DMARDs or after conventional DMARDs only have failed,Optimised,"Optimised recommendation for Certolizumab pegol in combination with methotrexate only if:
disease is severe, that is, a disease activity score (DAS28) greater than 5.1 and
disease has not responded to intensive therapy with a combination of conventional DMARDs
the company provides certolizumab pegol as agreed in the patient access scheme
Certolizumab pegol as monotherapy is recommended for people who cannot take methotrexate because it is contraindicated or because of intolerance, when the criteria in section 1.1 are met."
628,TA375,2015/16,MTA,Golimumab in combination with methotrexate,Pharmaceutical,Rheumatoid arthritis not previously treated with DMARDs or after conventional DMARDs only have failed,Optimised,"Optimised recommendation for golimumab in combination with methotrexate only if:
disease is severe, that is, a disease activity score (DAS28) greater than 5.1 and
disease has not responded to intensive therapy with a combination of conventional DMARDs
the company provides golimumab as agreed in the patient access scheme"
629,TA375,2015/16,MTA,Tocilizumab,Pharmaceutical,Rheumatoid arthritis not previously treated with DMARDs or after conventional DMARDs only have failed,Optimised,"Optimised recommendation for tocilizumab in combination with methotrexate only if:
disease is severe, that is, a disease activity score (DAS28) greater than 5.1 and
disease has not responded to intensive therapy with a combination of conventional DMARDs
the company provides tocilizumab as agreed in the patient access scheme
Tocilizumab as monotherapy is recommended for people who cannot take methotrexate because it is contraindicated or because of intolerance, when the criteria in section 1.1 are met."
630,TA375,2015/16,MTA,Abatacept in combination with methotrexate,Pharmaceutical,Rheumatoid arthritis not previously treated with DMARDs or after conventional DMARDs only have failed,Optimised,"Optimised recommendation for abatacept in combination with methotrexate only if:
disease is severe, that is, a disease activity score (DAS28) greater than 5.1 and
disease has not responded to intensive therapy with a combination of conventional DMARDs
the company provides abatacept as agreed in the patient access scheme"
631,TA376,2015/16,STA,Radium-223 dichloride,Pharmaceutical,Treating hormone-relapsed prostate cancer with bone metastases,Optimised,"Optimised recommendation for Radium‑223 dichloride as an option for treating adults with hormone‑relapsed prostate cancer, symptomatic bone metastases and no known visceral metastases, only if:

• they have had treatment with docetaxel, and 

• the company provides radium‑223 dichloride with the discount agreed in the patient access scheme."
632,TA377,2015/16,STA,Enzalutamide,Pharmaceutical,Treating metastatic hormone-relapsed prostate cancer before chemotherapy is indicated,Recommended,Recommended in line with marketing authorisation and following agreement of patient access scheme.
633,TA378,2015/16,STA,Ramucirumab alone or with paclitaxel,Pharmaceutical,Treating advanced gastric cancer or gastro–oesophageal junction adenocarcinoma previously treated with chemotherapy,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
